age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
30.0,unemployed,married,high.school,no,no,no,telephone,may,mon,38.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
55.0,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,mon,262.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
55.0,retired,single,high.school,no,yes,no,telephone,may,mon,342.0,1,999,0,nonexistent,,93.994,-36.4,,5191.0,no
41.0,technician,single,high.school,no,yes,no,telephone,may,mon,181.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
37.0,admin.,married,high.school,no,yes,no,telephone,may,mon,172.0,1,999,0,nonexistent,,93.994,-36.4,4.857,5191.0,no
35.0,technician,married,university.degree,no,no,yes,telephone,may,mon,99.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
59.0,technician,married,unknown,no,yes,no,telephone,may,mon,93.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
39.0,self-employed,married,basic.9y,unknown,no,no,telephone,may,mon,233.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
54.0,technician,single,university.degree,unknown,no,no,telephone,may,mon,255.0,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
55.0,unknown,married,university.degree,unknown,unknown,unknown,telephone,may,mon,362.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
46.0,admin.,married,unknown,no,no,no,telephone,may,mon,348.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
59.0,technician,married,unknown,no,yes,no,telephone,may,mon,386.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
49.0,blue-collar,married,unknown,no,no,no,telephone,may,mon,73.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
54.0,management,married,basic.4y,unknown,yes,no,telephone,may,mon,230.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
54.0,blue-collar,divorced,basic.4y,no,no,no,telephone,may,mon,208.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
55.0,unknown,married,basic.4y,unknown,yes,no,telephone,may,mon,336.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
34.0,services,married,high.school,no,no,no,telephone,may,mon,365.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
52.0,technician,married,basic.9y,no,yes,no,telephone,may,mon,1666.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
41.0,admin.,married,university.degree,no,yes,no,telephone,may,mon,577.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
56.0,technician,married,basic.4y,no,yes,no,telephone,may,mon,137.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
58.0,management,unknown,university.degree,no,yes,no,telephone,may,mon,366.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
32.0,entrepreneur,married,high.school,no,yes,no,telephone,may,mon,314.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
38.0,admin.,single,professional.course,no,no,no,telephone,may,mon,160.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
57.0,admin.,married,university.degree,no,no,yes,telephone,may,mon,,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
44.0,admin.,married,university.degree,unknown,yes,no,telephone,may,mon,188.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
42.0,technician,single,professional.course,unknown,no,no,telephone,may,mon,22.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
57.0,admin.,married,university.degree,no,yes,yes,telephone,may,mon,616.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
40.0,blue-collar,married,basic.9y,no,no,yes,telephone,may,mon,178.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
35.0,admin.,married,university.degree,no,yes,no,telephone,may,mon,355.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
45.0,blue-collar,married,basic.9y,no,yes,no,telephone,may,mon,225.0,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
54.0,admin.,married,high.school,no,no,no,telephone,may,mon,160.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
39.0,housemaid,married,basic.4y,no,no,yes,telephone,may,mon,266.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
59.0,admin.,married,high.school,no,no,no,telephone,may,mon,253.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
53.0,admin.,single,professional.course,no,no,no,telephone,may,mon,179.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
55.0,blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,269.0,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
55.0,technician,married,professional.course,unknown,yes,no,telephone,may,mon,135.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
50.0,management,married,university.degree,unknown,no,yes,telephone,may,mon,161.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
45.0,services,married,high.school,unknown,yes,no,telephone,may,mon,787.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
,unemployed,married,professional.course,unknown,yes,yes,telephone,may,mon,145.0,1,999,0,nonexistent,1.1,93.994,-36.4,,5191.0,no
25.0,technician,single,university.degree,no,yes,no,telephone,may,mon,174.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
47.0,entrepreneur,married,university.degree,unknown,no,no,telephone,may,mon,449.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
51.0,blue-collar,married,basic.9y,no,yes,no,telephone,may,mon,812.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
42.0,blue-collar,married,basic.6y,unknown,yes,no,telephone,may,mon,164.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
,blue-collar,married,basic.6y,unknown,no,no,telephone,may,mon,366.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
48.0,admin.,married,high.school,no,no,no,telephone,may,mon,357.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
37.0,admin.,married,university.degree,no,no,no,telephone,may,mon,232.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
44.0,blue-collar,single,basic.9y,no,yes,no,telephone,may,mon,91.0,1,999,0,nonexistent,,93.994,-36.4,4.857,5191.0,no
33.0,admin.,married,unknown,no,yes,no,telephone,may,mon,273.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
56.0,admin.,married,basic.9y,no,yes,no,telephone,may,mon,158.0,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
44.0,blue-collar,single,basic.4y,unknown,yes,yes,telephone,may,mon,177.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
41.0,management,married,basic.6y,no,no,no,telephone,may,mon,200.0,1,999,0,nonexistent,,93.994,-36.4,4.857,5191.0,no
44.0,management,divorced,university.degree,no,yes,no,telephone,may,mon,172.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
47.0,admin.,married,university.degree,unknown,yes,no,telephone,may,mon,176.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
57.0,unknown,married,unknown,unknown,no,no,telephone,may,mon,211.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
37.0,admin.,married,university.degree,unknown,yes,no,telephone,may,mon,214.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
59.0,blue-collar,divorced,basic.4y,unknown,yes,no,telephone,may,mon,1575.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,yes
55.0,technician,married,university.degree,no,no,no,telephone,may,mon,349.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
33.0,services,married,high.school,unknown,yes,no,telephone,may,mon,337.0,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
,management,married,unknown,unknown,yes,no,telephone,may,mon,272.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
42.0,blue-collar,married,basic.9y,unknown,no,no,telephone,may,mon,208.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
50.0,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,mon,193.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
51.0,blue-collar,married,basic.4y,unknown,unknown,unknown,telephone,may,mon,212.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
38.0,admin.,married,high.school,unknown,no,no,telephone,may,mon,165.0,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
49.0,entrepreneur,married,university.degree,unknown,yes,no,telephone,may,mon,1042.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,yes
38.0,technician,single,university.degree,no,no,yes,telephone,may,mon,20.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
31.0,admin.,divorced,high.school,no,no,no,telephone,may,mon,246.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
41.0,management,married,basic.6y,no,no,no,telephone,may,mon,,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
39.0,admin.,married,university.degree,no,yes,yes,telephone,may,mon,192.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
49.0,technician,married,basic.9y,no,no,no,telephone,may,mon,1467.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,yes
34.0,admin.,married,high.school,no,yes,no,telephone,may,mon,188.0,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
35.0,admin.,married,university.degree,no,yes,no,telephone,may,mon,180.0,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
57.0,unknown,married,unknown,unknown,yes,no,telephone,may,mon,48.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
59.0,admin.,married,unknown,unknown,no,yes,telephone,may,mon,213.0,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
33.0,unemployed,married,basic.9y,no,no,no,telephone,may,mon,545.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
42.0,blue-collar,married,basic.6y,no,no,yes,telephone,may,mon,583.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
45.0,services,married,professional.course,no,yes,no,telephone,may,mon,221.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
42.0,management,married,university.degree,no,no,no,telephone,may,mon,426.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
53.0,admin.,divorced,university.degree,unknown,no,no,telephone,may,mon,287.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
37.0,technician,single,professional.course,no,no,no,telephone,may,mon,197.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
44.0,blue-collar,married,basic.6y,no,no,no,telephone,may,mon,257.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
54.0,services,married,unknown,no,yes,no,telephone,may,mon,229.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
49.0,blue-collar,married,basic.4y,no,no,no,telephone,may,mon,55.0,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
54.0,services,married,unknown,no,no,no,telephone,may,mon,400.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
52.0,admin.,divorced,university.degree,no,no,no,telephone,may,mon,197.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
52.0,admin.,divorced,university.degree,no,no,no,telephone,may,mon,190.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
43.0,services,single,high.school,unknown,no,no,telephone,may,mon,21.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
34.0,housemaid,married,basic.6y,no,yes,no,telephone,may,mon,300.0,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
35.0,admin.,married,high.school,no,yes,no,telephone,may,mon,123.0,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
42.0,entrepreneur,married,unknown,unknown,yes,no,telephone,may,mon,293.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
43.0,technician,married,unknown,unknown,yes,yes,telephone,may,mon,325.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
59.0,retired,divorced,university.degree,unknown,no,no,telephone,may,mon,514.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
58.0,unemployed,married,basic.4y,unknown,no,no,telephone,may,mon,849.0,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
35.0,services,divorced,high.school,no,yes,no,telephone,may,mon,194.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
55.0,blue-collar,married,basic.9y,unknown,yes,no,telephone,may,mon,212.0,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
37.0,management,married,university.degree,no,no,no,telephone,may,mon,337.0,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
36.0,blue-collar,married,high.school,no,no,no,telephone,may,mon,286.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
52.0,admin.,divorced,university.degree,no,no,no,telephone,may,mon,247.0,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
57.0,blue-collar,divorced,unknown,unknown,yes,no,telephone,may,mon,518.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
,admin.,married,unknown,no,yes,no,telephone,may,mon,364.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
48.0,blue-collar,divorced,basic.4y,unknown,yes,no,telephone,may,mon,178.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
40.0,blue-collar,married,high.school,unknown,yes,no,telephone,may,mon,98.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
49.0,blue-collar,divorced,high.school,no,no,no,telephone,may,mon,439.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
41.0,services,married,high.school,no,no,no,telephone,may,mon,139.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
45.0,technician,married,high.school,no,yes,no,telephone,may,mon,79.0,1,999,0,nonexistent,1.1,93.994,-36.4,,5191.0,no
32.0,admin.,married,university.degree,no,yes,yes,telephone,may,mon,175.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
42.0,admin.,married,university.degree,no,no,yes,telephone,may,mon,262.0,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
50.0,admin.,married,basic.6y,no,no,no,telephone,may,mon,61.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
31.0,technician,divorced,professional.course,no,yes,yes,telephone,may,mon,78.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
56.0,retired,married,basic.4y,no,yes,no,telephone,may,mon,102.0,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
41.0,technician,married,professional.course,unknown,yes,no,telephone,may,mon,,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,yes
37.0,blue-collar,married,basic.6y,no,yes,yes,telephone,may,mon,143.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
41.0,technician,married,professional.course,unknown,no,no,telephone,may,mon,677.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
35.0,blue-collar,married,unknown,no,yes,no,telephone,may,mon,267.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
37.0,blue-collar,married,basic.6y,no,yes,no,telephone,may,mon,345.0,1,999,0,nonexistent,1.1,93.994,-36.4,,5191.0,no
52.0,management,married,university.degree,no,no,no,telephone,may,mon,185.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
39.0,management,divorced,university.degree,no,no,no,telephone,may,mon,207.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
39.0,housemaid,married,basic.4y,unknown,no,no,telephone,may,mon,69.0,2,999,0,nonexistent,,93.994,-36.4,4.857,5191.0,no
56.0,blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,100.0,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
34.0,services,married,high.school,no,yes,no,telephone,may,mon,125.0,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
,blue-collar,married,basic.9y,unknown,yes,no,telephone,may,mon,461.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,yes
43.0,unemployed,single,university.degree,no,yes,no,telephone,may,mon,240.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
56.0,management,married,unknown,no,yes,no,telephone,may,mon,70.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
39.0,management,married,university.degree,no,yes,no,telephone,may,mon,193.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
,blue-collar,married,basic.4y,no,yes,no,telephone,may,mon,136.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
38.0,unknown,divorced,high.school,unknown,yes,no,telephone,may,mon,73.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
42.0,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,mon,528.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
42.0,blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,541.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
35.0,admin.,single,high.school,no,yes,no,telephone,may,mon,338.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
40.0,admin.,married,university.degree,unknown,yes,no,telephone,may,mon,163.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
51.0,blue-collar,married,basic.4y,no,yes,no,telephone,may,mon,87.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
59.0,blue-collar,married,basic.9y,unknown,no,no,telephone,may,mon,301.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
56.0,entrepreneur,married,unknown,unknown,yes,no,telephone,may,mon,,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
39.0,services,divorced,high.school,unknown,yes,no,telephone,may,mon,52.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
56.0,entrepreneur,married,unknown,unknown,no,no,telephone,may,mon,204.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
40.0,blue-collar,married,unknown,no,yes,yes,telephone,may,mon,155.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
36.0,blue-collar,married,basic.9y,no,yes,yes,telephone,may,mon,98.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
51.0,blue-collar,married,unknown,unknown,yes,no,telephone,may,mon,71.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
51.0,blue-collar,married,unknown,unknown,no,no,telephone,may,mon,243.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
43.0,technician,single,professional.course,no,yes,no,telephone,may,mon,186.0,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
,services,married,high.school,no,no,no,telephone,may,mon,579.0,2,999,0,nonexistent,,93.994,-36.4,,5191.0,no
24.0,management,single,university.degree,no,yes,no,telephone,may,mon,165.0,2,999,0,nonexistent,,93.994,-36.4,4.857,5191.0,no
37.0,blue-collar,single,basic.9y,unknown,yes,yes,telephone,may,mon,163.0,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
40.0,blue-collar,married,basic.9y,unknown,no,no,telephone,may,mon,46.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
,blue-collar,married,basic.9y,unknown,no,no,telephone,may,mon,,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
39.0,services,divorced,high.school,unknown,no,no,telephone,may,mon,2033.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
37.0,entrepreneur,married,basic.6y,no,no,no,telephone,may,mon,85.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
38.0,services,married,high.school,no,yes,yes,telephone,may,mon,506.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
56.0,admin.,divorced,unknown,unknown,no,no,telephone,may,mon,114.0,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
40.0,blue-collar,married,unknown,no,no,no,telephone,may,mon,114.0,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
54.0,management,divorced,university.degree,no,yes,no,telephone,may,mon,843.0,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
43.0,blue-collar,married,high.school,unknown,no,yes,telephone,may,mon,181.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
36.0,services,married,high.school,unknown,no,no,telephone,may,mon,427.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
45.0,technician,married,university.degree,no,yes,yes,telephone,may,mon,292.0,1,999,0,nonexistent,1.1,93.994,-36.4,,5191.0,no
42.0,admin.,single,university.degree,unknown,no,no,telephone,may,mon,192.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
43.0,services,married,high.school,no,no,no,telephone,may,mon,93.0,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
46.0,management,married,basic.9y,no,no,no,telephone,may,mon,128.0,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
44.0,services,married,high.school,no,yes,yes,telephone,may,mon,107.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
51.0,admin.,single,basic.6y,no,no,no,telephone,may,mon,303.0,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
28.0,services,married,high.school,no,yes,no,telephone,may,mon,81.0,1,999,0,nonexistent,1.1,93.994,-36.4,,5191.0,no
37.0,blue-collar,married,basic.9y,no,no,no,telephone,may,mon,270.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
34.0,technician,married,high.school,no,no,no,telephone,may,mon,228.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
46.0,blue-collar,married,basic.6y,unknown,yes,no,telephone,may,mon,240.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
42.0,blue-collar,married,basic.9y,no,yes,yes,telephone,may,mon,673.0,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,yes
36.0,admin.,married,university.degree,no,yes,no,telephone,may,mon,233.0,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
54.0,blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,102.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
57.0,management,married,university.degree,no,no,no,telephone,may,mon,461.0,1,999,0,nonexistent,1.1,93.994,-36.4,,5191.0,no
51.0,technician,married,basic.6y,unknown,no,no,telephone,may,mon,250.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
54.0,retired,married,high.school,unknown,no,no,telephone,may,mon,130.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
49.0,blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,252.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
34.0,admin.,married,university.degree,no,yes,no,telephone,may,mon,,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
41.0,technician,married,professional.course,no,no,no,telephone,may,mon,412.0,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
,blue-collar,single,basic.9y,no,yes,no,telephone,may,mon,,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
45.0,management,divorced,university.degree,no,no,no,telephone,may,mon,19.0,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
